Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Dal Bo, I., Klotzsche, A., Bol, R., Moradi, G., Weihermüller, L., Vereecken, H., van der Kruk, J.","57208472024;36515131700;7006657494;57210666820;23006581400;7004082452;6603626326;","GPR and EMI Characterization of the Hyperarid Study Site of Yungay, Chile: Implications of Applying Geophysical Methods on Mars",2021,"Earth and Space Science","8","12","e2021EA001790","","",,,"10.1029/2021EA001790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121611369&doi=10.1029%2f2021EA001790&partnerID=40&md5=dd2a6fc0979a80cc147cf7fe96d6ed62",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85121611369
"Favaro, E.A., Hugenholtz, C.H., Barchyn, T.E.","57220367538;8696440600;24461065500;","Antecedent controls on the spatial organization of yardangs on the Puna Plateau, north-western Argentina",2021,"Earth Surface Processes and Landforms","46","15",,"3063","3077",,1,"10.1002/esp.5212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116389355&doi=10.1002%2fesp.5212&partnerID=40&md5=5b3eb7164295a1a1b21e4bf8d84f8e6e",Article,"Final","",Scopus,2-s2.0-85116389355
"Veneranda, M., Lopez-Reyes, G., Saiz, J., Manrique-Martinez, J.A., Sanz-Arranz, A., Medina, J., Moral, A., Seoane, L., Ibarmia, S., Rull, F.","56100528900;55671026500;57210210579;56454981100;36970734900;7402370526;24071262200;57195105663;36668647900;6701815078;","ExoFiT trial at the Atacama Desert (Chile): Raman detection of biomarkers by representative prototypes of the ExoMars/Raman Laser Spectrometer",2021,"Scientific Reports","11","1","1461","","",,6,"10.1038/s41598-021-81014-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099459090&doi=10.1038%2fs41598-021-81014-z&partnerID=40&md5=dff0549fe8d73c7abbdd5ac2e29a81cc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85099459090
"Williams, R.M.E., Irwin, R.P., Noe Dobrea, E.Z., Howard, A.D., Dietrich, W.E., Cawley, J.C.","7409605082;7201975649;8565356600;36506664600;7201810208;36843091400;","Inverted channel variations identified on a distal portion of a bajada in the central Atacama Desert, Chile",2021,"Geomorphology","393",,"107925","","",,,"10.1016/j.geomorph.2021.107925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115936460&doi=10.1016%2fj.geomorph.2021.107925&partnerID=40&md5=8d0a8b54327039a102764055b9d92cc9",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85115936460
"Sánchez-García, L., Carrizo, D., Lezcano, M.A., Moreno-Paz, M., Aeppli, C., García-Villadangos, M., Prieto-Ballesteros, O., Demergasso, C., Chong, G., Parro, V.","24476712900;12775412700;55889145900;7801549655;23388713700;23984700500;55901149000;35228899200;55340362300;6701611493;","Time-Integrative Multibiomarker Detection in Triassic-Jurassic Rocks from the Atacama Desert: Relevance to the Search for Basic Life beyond Earth",2021,"Astrobiology","21","11",,"1421","1437",,,"10.1089/ast.2020.2339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118716477&doi=10.1089%2fast.2020.2339&partnerID=40&md5=e296179eadfa4428c2baa6a96e482b56",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85118716477
"Wang, Y., Moradi, G., Klumpp, E., von Sperber, C., Tamburini, F., Ritter, B., Fuentes, B., Amelung, W., Bol, R.","57221770527;57210666820;55933282800;55941025800;6602436520;57197364863;36658198000;7004440199;7006657494;","Phosphate oxygen isotope fingerprints of past biological activity in the Atacama Desert",2021,"Geochimica et Cosmochimica Acta","311",,,"1","11",,1,"10.1016/j.gca.2021.07.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112019688&doi=10.1016%2fj.gca.2021.07.027&partnerID=40&md5=a9d3703e30fc84a7d0cc0ae79ef75683",Article,"Final","",Scopus,2-s2.0-85112019688
"Gattacceca, J., Devouard, B., Barrat, J.-A., Rochette, P., Balestrieri, M.L., Bigazzi, G., Ménard, G., Moustard, F., Dos Santos, E., Scorzelli, R., Valenzuela, M., Gounelle, M., Debaille, V., Beck, P., Bonal, L., Reynard, B., Warner, M.","6603540166;6701853723;7102283405;7006811225;7006679326;56212338000;57224782322;56943451700;57224765293;6603903914;57197676669;55883197300;6505542271;7201483615;8519143800;7003527590;57139698000;","A 650 km2 Miocene strewnfield of splash-form impact glasses in the Atacama Desert, Chile",2021,"Earth and Planetary Science Letters","569",,"117049","","",,,"10.1016/j.epsl.2021.117049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108280660&doi=10.1016%2fj.epsl.2021.117049&partnerID=40&md5=dec7316fe419b735d21869a7d28ebc10",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85108280660
"Shen, J., Wyness, A.J., Claire, M.W., Zerkle, A.L.","57217583202;57207888210;8691333500;12244468800;","Spatial Variability of Microbial Communities and Salt Distributions Across a Latitudinal Aridity Gradient in the Atacama Desert",2021,"Microbial Ecology","82","2",,"442","458",,4,"10.1007/s00248-020-01672-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099384959&doi=10.1007%2fs00248-020-01672-w&partnerID=40&md5=c2fd4d3e51ebfe8deafc58e257c7872a",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85099384959
"Díaz-Rullo, J., Rodríguez-Valdecantos, G., Torres-Rojas, F., Cid, L., Vargas, I.T., González, B., González-Pastor, J.E.","57226781259;56565483700;57218143096;57226764894;23568919100;7102739062;6602455867;","Mining for Perchlorate Resistance Genes in Microorganisms From Sediments of a Hypersaline Pond in Atacama Desert, Chile",2021,"Frontiers in Microbiology","12",,"723874","","",,1,"10.3389/fmicb.2021.723874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112631650&doi=10.3389%2ffmicb.2021.723874&partnerID=40&md5=85bcdcebb5ca15638a2fc2cd037c6808",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85112631650
"Jackson, W.A., Brundrett, M., Böhlke, J.K., Hatzinger, P.B., Mroczkowski, S.J., Sturchio, N.C.","7401888610;56589694500;7004491698;6602124610;56541264200;7004475068;","Isotopic composition of natural and synthetic chlorate (δ18O, Δ17O, δ37Cl, 36Cl/Cl): Methods and initial results",2021,"Chemosphere","274",,"129586","","",,2,"10.1016/j.chemosphere.2021.129586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100081900&doi=10.1016%2fj.chemosphere.2021.129586&partnerID=40&md5=f27385644bb998edae427badbece4f60",Article,"Final","",Scopus,2-s2.0-85100081900
"McKay, C.P.","7101952183;","Preservation of static lifeless landscapes in the antarctic dry valleys and the atacama desert and applications to the moon and mars",2021,"Ethics and the Environment","26","1",,"105","120",,1,"10.2979/ethicsenviro.26.1.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109109887&doi=10.2979%2fethicsenviro.26.1.05&partnerID=40&md5=73adc4a044beabd6c5e642ccec9abc85",Review,"Final","",Scopus,2-s2.0-85109109887
"Pourkhorsandi, H., Debaille, V., Armytage, R.M.G., van Ginneken, M., Rochette, P., Gattacceca, J.","56850503100;6505542271;36008038300;24340144900;7006811225;6603540166;","The effects of terrestrial weathering on samarium‑neodymium isotopic composition of ordinary chondrites",2021,"Chemical Geology","562",,"120056","","",,2,"10.1016/j.chemgeo.2020.120056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099498913&doi=10.1016%2fj.chemgeo.2020.120056&partnerID=40&md5=1655257c3d0655e7a96afa3dce1b6ae5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85099498913
"Shen, J.","57217583202;","Phospholipid biomarkers in Mars-analogous soils of the Atacama Desert",2020,"International Journal of Astrobiology","19","6",,"505","514",,1,"10.1017/S1473550420000294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095427248&doi=10.1017%2fS1473550420000294&partnerID=40&md5=5b93b48444a8db3a05bb64ab64a1253c",Article,"Final","",Scopus,2-s2.0-85095427248
"Azua-Bustos, A., González-Silva, C., Fernández-Martínez, M.Á., Arenas-Fajardo, C., Fonseca, R., Martín-Torres, F.J., Fernández-Sampedro, M., Fairén, A.G., Zorzano, M.-P.","26038934900;35098616700;55653277100;55641591100;54895907100;6603402408;56293647900;7003799252;35612235000;","Author Correction: Aeolian transport of viable microbial life across the Atacama Desert, Chile: Implications for Mars (Scientific Reports, (2019), 9, 1, (11024), 10.1038/s41598-019-47394-z)",2020,"Scientific Reports","10","1","751","","",,,"10.1038/s41598-020-57444-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077895198&doi=10.1038%2fs41598-020-57444-6&partnerID=40&md5=e9de8ad35b6d5dad7184cf3370641ece",Erratum,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85077895198
"Shen, J., Smith, A.C., Claire, M.W., Zerkle, A.L.","57217583202;55516291200;8691333500;12244468800;","Unraveling biogeochemical phosphorus dynamics in hyperarid Mars-analogue soils using stable oxygen isotopes in phosphate",2020,"Geobiology","18","6",,"760","779",,6,"10.1111/gbi.12408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089573257&doi=10.1111%2fgbi.12408&partnerID=40&md5=256c4a1e4db03099ad3f341b72499252",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089573257
"Mora, M.F., Kehl, F., Tavares Da Costa, E., Bramall, N., Willis, P.A.","12771521500;26647489000;57219900283;10340627700;7102962686;","Fully Automated Microchip Electrophoresis Analyzer for Potential Life Detection Missions",2020,"Analytical Chemistry","92","19",,"12959","12966",,9,"10.1021/acs.analchem.0c01628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095967675&doi=10.1021%2facs.analchem.0c01628&partnerID=40&md5=183d274b054db93f004b607586c05cf0",Article,"Final","",Scopus,2-s2.0-85095967675
"McMillan, M., Schoenbohm, L.M.","57193773546;8148514600;","Large-Scale Cenozoic Wind Erosion in the Puna Plateau: The Salina del Fraile Depression",2020,"Journal of Geophysical Research: Earth Surface","125","9","e2020JF005682","","",,5,"10.1029/2020JF005682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091426986&doi=10.1029%2f2020JF005682&partnerID=40&md5=042f831d21517ba009d2fff93d4db456",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091426986
"Favaro, E.A., Hugenholtz, C.H., Barchyn, T.E., Gough, T.R.","57220367538;8696440600;24461065500;57216732484;","Wind regime, sediment transport, and landscape dynamics at a Mars analogue site in the Andes Mountains of Northwestern Argentina",2020,"Icarus","346",,"113765","","",,8,"10.1016/j.icarus.2020.113765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084387833&doi=10.1016%2fj.icarus.2020.113765&partnerID=40&md5=e36fa26fb14c18652e41e50307db51e4",Article,"Final","",Scopus,2-s2.0-85084387833
"Cabré, A., Remy, D., Aguilar, G., Carretier, S., Riquelme, R.","57191497962;7005181463;36624833300;6603118126;56228802300;","Mapping rainstorm erosion associated with an individual storm from InSAR coherence loss validated by field evidence for the Atacama Desert",2020,"Earth Surface Processes and Landforms","45","9",,"2091","2106",,6,"10.1002/esp.4868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083970431&doi=10.1002%2fesp.4868&partnerID=40&md5=0e7cd8d134541d59b383842d75597617",Article,"Final","",Scopus,2-s2.0-85083970431
"Kereszturi, Á., Aszalós, J.M., Heiling, Z., Ignéczi, Á., Kapui, Z., Király, C., Leél-Össy, S., Nagy, B., Nemerkényi, Z., Pál, B., Skultéti, Á., Szalai, Z.","55903788800;57189758260;57218843694;55635406500;57202852246;57170169800;8744690000;57189756799;56500643000;57191894967;56050836900;6602857644;","Cold, Dry, Windy, and UV Irradiated: Surveying Mars-Relevant Conditions in Ojos del Salado Volcano (Andes Mountains, Chile)",2020,"Astrobiology","20","6",,"677","683",,8,"10.1089/ast.2019.2165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090415494&doi=10.1089%2fast.2019.2165&partnerID=40&md5=d2c77884155d2b90f89af9dfa9b77b19",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85090415494
"Aerts, J.W., Riedo, A., Melton, D.J., Martini, S., Flahaut, J., Meierhenrich, U.J., Meinert, C., Myrgorodska, I., Lindner, R., Ehrenfreund, P.","56392542700;36810227700;57217140056;57217139878;35344842200;7004117605;36106109200;56491226500;57195107754;7005276576;","Biosignature Analysis of Mars Soil Analogs from the Atacama Desert: Challenges and Implications for Future Missions to Mars",2020,"Astrobiology","20","6",,"766","784",,7,"10.1089/ast.2019.2063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086420252&doi=10.1089%2fast.2019.2063&partnerID=40&md5=b392280dd55550a01014269ad9f79829",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086420252
"Huang, W., Ertekin, E., Wang, T., Cruz, L., Dailey, M., DiRuggiero, J., Kisailus, D.","57199043302;55335254700;57214132035;57201260668;57201457371;6602943553;6603487498;","Mechanism of water extraction from gypsum rock by desert colonizing microorganisms",2020,"Proceedings of the National Academy of Sciences of the United States of America","117","20",,"10681","10687",,15,"10.1073/pnas.2001613117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084963832&doi=10.1073%2fpnas.2001613117&partnerID=40&md5=a20baa4e9b3849e66c87e8a7c186862f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084963832
"D'Orazio, M.","57214669956;","Petrography, geochemistry and classification of ten new iron meteorites from Northwest Africa and Chile",2020,"Periodico di Mineralogia","89","1",,"3","18",,,"10.2451/2020PM855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086153470&doi=10.2451%2f2020PM855&partnerID=40&md5=329e7b5066a88b7ad9786cf1ad97780d",Article,"Final","",Scopus,2-s2.0-85086153470
"Bentz, J.L., Peterson, R.C.","57199995364;7403616991;","THE FORMATION OF CLAY MINERALS IN THE MUDFLATS OF BOLIVIAN SALARS",2020,"Clays and Clay Minerals","68","2",,"115","134",,3,"10.1007/s42860-020-00065-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085352184&doi=10.1007%2fs42860-020-00065-x&partnerID=40&md5=4f7784affcf3a9923fe2d00600921f1d",Article,"Final","",Scopus,2-s2.0-85085352184
"Sager, C., Airo, A., Arens, F.L., Rabethge, C., Schulze-Makuch, D.","57211635542;8729907400;57201195255;57211646725;7003451292;","New types of boulder accumulations in the hyper-arid Atacama Desert",2020,"Geomorphology","350",,"106897","","",,7,"10.1016/j.geomorph.2019.106897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074687693&doi=10.1016%2fj.geomorph.2019.106897&partnerID=40&md5=a4c766acd01a67a2a2baeea3818a055c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85074687693
"Kehl, F., Kovarik, N.A., Creamer, J.S., da Costa, E.T., Willis, P.A.","26647489000;57212472620;57195456605;36245793300;7102962686;","A Subcritical Water Extractor Prototype for Potential Astrobiology Spaceflight Missions",2019,"Earth and Space Science","6","12",,"2443","2460",,4,"10.1029/2019EA000803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076741544&doi=10.1029%2f2019EA000803&partnerID=40&md5=ecc250d4cd761d2c7b65a2afad7e6744",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85076741544
"Shen, J., Zerkle, A.L., Stueeken, E., Claire, M.W.","57217583202;12244468800;57190159267;8691333500;","Nitrates as a potential N supply for microbial ecosystems in a hyperarid mars analog system",2019,"Life","9","4","79","","",,6,"10.3390/life9040079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074509345&doi=10.3390%2flife9040079&partnerID=40&md5=bbf9fac474ecc3c468c6ad0542d32ca6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85074509345
"Azua-Bustos, A., González-Silva, C., Fernández-Martínez, M.Á., Arenas-Fajardo, C., Fonseca, R., Martín-Torres, F.J., Fernández-Sampedro, M., Fairén, A.G., Zorzano, M.-P.","26038934900;35098616700;55653277100;55641591100;54895907100;6603402408;56293647900;7003799252;35612235000;","Aeolian transport of viable microbial life across the Atacama Desert, Chile: Implications for Mars",2019,"Scientific Reports","9","1","11024","","",,13,"10.1038/s41598-019-47394-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071189771&doi=10.1038%2fs41598-019-47394-z&partnerID=40&md5=c2ea0277ff5e5520cbf04ed129ca49a8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85071189771
"Li, J., Wang, F., Michalski, G., Wilkins, B.","56261245900;55957855600;57205981224;57201555730;","Atmospheric deposition across the Atacama Desert, Chile: Compositions, source distributions, and interannual comparisons",2019,"Chemical Geology","525",,,"435","446",,9,"10.1016/j.chemgeo.2019.07.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070578261&doi=10.1016%2fj.chemgeo.2019.07.037&partnerID=40&md5=ef2156704d3cd767e4b26b1a26727309",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85070578261
"Mörchen, R., Lehndorff, E., Diaz, F.A., Moradi, G., Bol, R., Fuentes, B., Klumpp, E., Amelung, W.","57210392664;6506255250;57216261454;57210666820;7006657494;36658198000;55933282800;7004440199;","Carbon accrual in the Atacama Desert",2019,"Global and Planetary Change","181",,"102993","","",,20,"10.1016/j.gloplacha.2019.102993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070559962&doi=10.1016%2fj.gloplacha.2019.102993&partnerID=40&md5=0046eccd2f349eeb739b416394666ad8",Article,"Final","",Scopus,2-s2.0-85070559962
"Bhardwaj, A., Sam, L., Martín-Torres, F.J., Zorzano, M.-P., Luque, J.A.R.","55366249600;56487482100;6603402408;35612235000;57225709894;","UAV imaging of a martian brine analogue environment in a fluvio-aeolian setting",2019,"Remote Sensing","11","18","2104","","",,4,"10.3390/rs11182104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072630275&doi=10.3390%2frs11182104&partnerID=40&md5=1863a0fb5c24fb1a879aa0aa5a6d4b6b",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072630275
"Torre, G., Gaiero, D.M., Sawakuchi, A.O., Río, I.D., Coppo, R.","57208511374;6603319314;15840884400;57113284300;57208510143;","Revisiting the chronology and environmental conditions for the accretion of late Pleistocene-early Holocene Pampean loess (Argentina)",2019,"Quaternary Science Reviews","213",,,"105","119",,6,"10.1016/j.quascirev.2019.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064995541&doi=10.1016%2fj.quascirev.2019.04.018&partnerID=40&md5=2d88ba6dae2558802562e07355cb8c43",Article,"Final","",Scopus,2-s2.0-85064995541
"Cubillos, C.F., Paredes, A., Yáñez, C., Palma, J., Severino, E., Vejar, D., Grágeda, M., Dorador, C.","57205189954;7005893042;57194325441;57204180564;57209852996;36976404500;12800360600;23666723800;","Insights into the microbiology of the chaotropic brines of Salar de Atacama, Chile",2019,"Frontiers in Microbiology","10",,"1611","","",,3,"10.3389/fmicb.2019.01611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068908204&doi=10.3389%2ffmicb.2019.01611&partnerID=40&md5=3981609f4498eb5a39ef62c91dba36ee",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85068908204
"Parro, V., Puente-Sánchez, F., Cabrol, N.A., Gallardo-Carreño, I., Moreno-Paz, M., Blanco, Y., García-Villadangos, M., Tambley, C., Tilot, V.C., Thompson, C., Smith, E., Sobrón, P., Demergasso, C.S., Echeverría-Vega, A., Fernández-Martínez, M.A., Whyte, L.G., Fairén, A.G.","6701611493;55927881600;8941957900;57188429200;7801549655;8974332400;23984700500;36156166100;24332944700;7404237941;57209688640;21740289300;35228899200;35228962200;55653277100;7005802569;7003799252;","Microbiology and nitrogen cycle in the benthic sediments of a glacial oligotrophic deep andean lake as analog of ancient martian lake-beds",2019,"Frontiers in Microbiology","10","MAY","929","","",,7,"10.3389/fmicb.2019.00929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068437314&doi=10.3389%2ffmicb.2019.00929&partnerID=40&md5=de898dfefb541ef965f67ca990281215",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85068437314
"Drouard, A., Gattacceca, J., Hutzler, A., Rochette, P., Braucher, R., Bourlès, D., Gounelle, M., Morbidelli, A., Debaille, V., Van Ginneken, M., Valenzuela, M., Quesnel, Y., Martinez, R., Aumaître, G., Keddadouche, K.","57193693994;6603540166;55382242200;7006811225;6602165786;7004693622;55883197300;7006177504;6505542271;24340144900;57197676669;25648503600;57139506500;23491271100;24066670700;","The meteorite flux of the past 2 m.y. Recorded in the Atacama Desert",2019,"Geology","47","7",,"673","676",,13,"10.1130/G45831.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068087099&doi=10.1130%2fG45831.1&partnerID=40&md5=75e1c3016f6175b55cdcd3e175f928c8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85068087099
"Pourkhorsandi, H., Gattacceca, J., Rochette, P., D'Orazio, M., Kamali, H., de Avillez, R., Letichevsky, S., Djamali, M., Mirnejad, H., Debaille, V., Jull, A.J.T.","56850503100;6603540166;7006811225;57214669956;57209096662;35588153700;8385803800;14044985200;24471998400;6505542271;7005603161;","Meteorites from the Lut Desert (Iran)",2019,"Meteoritics and Planetary Science","54","8",,"1737","1763",,12,"10.1111/maps.13311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066486527&doi=10.1111%2fmaps.13311&partnerID=40&md5=25a21d9f8b3348637c79eede4fc59477",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85066486527
"Pfeiffer, M., Latorre, C., Gayo, E., Amundson, R.","57203628605;7005764439;23392571300;7005994343;","Rare calcium chloride-rich soil and implications for the existence of liquid water in a hyperarid environment",2019,"Geology","47","2",,"163","166",,6,"10.1130/G45642.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060433195&doi=10.1130%2fG45642.1&partnerID=40&md5=ad4de671973d502ab4b33d094b18c520",Article,"Final","",Scopus,2-s2.0-85060433195
"Pulschen, A.A., Araujo, G.G., Souza Ramos de Carvalho, A.C., Cerini, M.F., Fonseca, L.M., Galante, D., Rodrigues, F.","55918079700;56770867900;57204919126;57204670398;57204677803;16318631900;16029720800;","Survival of extremophilic yeasts in the stratospheric environment during balloon flights and in laboratory simulations",2018,"Applied and Environmental Microbiology","84","23","e01942-18","","",,12,"10.1128/AEM.01942-18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056659941&doi=10.1128%2fAEM.01942-18&partnerID=40&md5=0b8cec585fed31cb5e348cbae95a4f27",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85056659941
"Oberlin, E.A., Claire, M.W., Kounaves, S.P.","57201200596;8691333500;7004018919;","Evaluation of the Tindouf Basin Region in Southern Morocco as an Analogue Site for Soil Geochemistry on Noachian Mars",2018,"Astrobiology","18","10",,"1318","1328",,6,"10.1089/ast.2016.1557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054896084&doi=10.1089%2fast.2016.1557&partnerID=40&md5=164857c3ba18c98119922ab595d6eb37",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85054896084
"Sánchez-García, L., Aeppli, C., Parro, V., Fernández-Remolar, D., García-Villadangos, M., Chong-Diaz, G., Blanco, Y., Carrizo, D.","24476712900;23388713700;6701611493;6603201886;23984700500;55340362300;8974332400;12775412700;","Molecular biomarkers in the subsurface of the Salar Grande (Atacama, Chile) evaporitic deposits",2018,"Biogeochemistry","140","1",,"31","52",,16,"10.1007/s10533-018-0477-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051862646&doi=10.1007%2fs10533-018-0477-3&partnerID=40&md5=6f8846eea172de02e55d72cf65329542",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85051862646
"Bull, A.T., Andrews, B.A., Dorador, C., Goodfellow, M.","24538530400;35556534100;23666723800;7102073615;","Introducing the Atacama Desert",2018,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology","111","8",,"1269","1272",,14,"10.1007/s10482-018-1100-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047379722&doi=10.1007%2fs10482-018-1100-2&partnerID=40&md5=a812fd0694b7231155193e1ae310461c",Editorial,"Final","All Open Access, Green",Scopus,2-s2.0-85047379722
